state,state_code,variant,date,total_sequences,cluster_sequences,day_from_midpoint
Alabama,AL,Alpha,2021-01-29,6,1,-42
Alabama,AL,Alpha,2021-01-31,1,0,-40
Alabama,AL,Alpha,2021-02-01,18,2,-39
Alabama,AL,Alpha,2021-02-02,18,0,-38
Alabama,AL,Alpha,2021-02-03,2,2,-37
Alabama,AL,Alpha,2021-02-04,2,0,-36
Alabama,AL,Alpha,2021-02-05,40,2,-35
Alabama,AL,Alpha,2021-02-06,27,1,-34
Alabama,AL,Alpha,2021-02-07,1,1,-33
Alabama,AL,Alpha,2021-02-08,11,7,-32
Alabama,AL,Alpha,2021-02-09,32,0,-31
Alabama,AL,Alpha,2021-02-10,29,0,-30
Alabama,AL,Alpha,2021-02-11,13,3,-29
Alabama,AL,Alpha,2021-02-12,3,1,-28
Alabama,AL,Alpha,2021-02-13,2,0,-27
Alabama,AL,Alpha,2021-02-14,2,0,-26
Alabama,AL,Alpha,2021-02-15,15,0,-25
Alabama,AL,Alpha,2021-02-16,9,2,-24
Alabama,AL,Alpha,2021-02-17,7,1,-23
Alabama,AL,Alpha,2021-02-19,5,3,-21
Alabama,AL,Alpha,2021-02-20,2,0,-20
Alabama,AL,Alpha,2021-02-22,23,8,-18
Alabama,AL,Alpha,2021-02-23,25,7,-17
Alabama,AL,Alpha,2021-02-24,28,10,-16
Alabama,AL,Alpha,2021-02-25,23,3,-15
Alabama,AL,Alpha,2021-02-26,15,3,-14
Alabama,AL,Alpha,2021-02-27,10,2,-13
Alabama,AL,Alpha,2021-02-28,1,0,-12
Alabama,AL,Alpha,2021-03-01,16,7,-11
Alabama,AL,Alpha,2021-03-02,2,1,-10
Alabama,AL,Alpha,2021-03-03,16,5,-9
Alabama,AL,Alpha,2021-03-04,21,10,-8
Alabama,AL,Alpha,2021-03-05,10,7,-7
Alabama,AL,Alpha,2021-03-06,3,0,-6
Alabama,AL,Alpha,2021-03-07,13,6,-5
Alabama,AL,Alpha,2021-03-08,15,8,-4
Alabama,AL,Alpha,2021-03-09,13,4,-3
Alabama,AL,Alpha,2021-03-10,10,1,-2
Alabama,AL,Alpha,2021-03-11,10,0,-1
Alabama,AL,Alpha,2021-03-12,10,3,0
Alabama,AL,Alpha,2021-03-13,11,7,1
Alabama,AL,Alpha,2021-03-14,7,2,2
Alabama,AL,Alpha,2021-03-15,18,7,3
Alabama,AL,Alpha,2021-03-16,13,7,4
Alabama,AL,Alpha,2021-03-17,6,1,5
Alabama,AL,Alpha,2021-03-18,13,6,6
Alabama,AL,Alpha,2021-03-19,12,5,7
Alabama,AL,Alpha,2021-03-20,8,6,8
Alabama,AL,Alpha,2021-03-21,5,4,9
Alabama,AL,Alpha,2021-03-22,6,3,10
Alabama,AL,Alpha,2021-03-23,16,14,11
Alabama,AL,Alpha,2021-03-24,19,13,12
Alabama,AL,Alpha,2021-03-25,7,3,13
Alabama,AL,Alpha,2021-03-26,10,5,14
Alabama,AL,Alpha,2021-03-27,6,6,15
Alabama,AL,Alpha,2021-03-28,4,3,16
Alabama,AL,Alpha,2021-03-29,13,10,17
Alabama,AL,Alpha,2021-03-30,29,17,18
Alabama,AL,Alpha,2021-03-31,26,20,19
Alabama,AL,Alpha,2021-04-01,13,12,20
Alabama,AL,Alpha,2021-04-02,6,3,21
Alabama,AL,Alpha,2021-04-03,6,4,22
Alabama,AL,Alpha,2021-04-04,2,2,23
Alabama,AL,Alpha,2021-04-05,13,11,24
Alabama,AL,Alpha,2021-04-06,21,16,25
Alabama,AL,Alpha,2021-04-07,13,11,26
Alabama,AL,Alpha,2021-04-08,12,9,27
Alabama,AL,Alpha,2021-04-09,9,7,28
Alabama,AL,Alpha,2021-04-10,10,10,29
Alabama,AL,Alpha,2021-04-11,2,1,30
Alabama,AL,Alpha,2021-04-12,21,15,31
Alabama,AL,Alpha,2021-04-13,32,26,32
Alabama,AL,Alpha,2021-04-14,13,10,33
Alabama,AL,Alpha,2021-04-15,24,14,34
Alabama,AL,Alpha,2021-04-16,26,20,35
Alabama,AL,Alpha,2021-04-17,3,3,36
Alabama,AL,Alpha,2021-04-18,6,6,37
Alabama,AL,Alpha,2021-04-19,14,8,38
Alabama,AL,Alpha,2021-04-20,19,16,39
Alabama,AL,Alpha,2021-04-21,15,14,40
Alabama,AL,Alpha,2021-04-22,15,13,41
Alabama,AL,Alpha,2021-04-23,24,20,42
Alaska,AK,Alpha,2021-03-10,8,1,-42
Alaska,AK,Alpha,2021-03-11,5,1,-41
Alaska,AK,Alpha,2021-03-12,4,0,-40
Alaska,AK,Alpha,2021-03-13,11,0,-39
Alaska,AK,Alpha,2021-03-14,6,0,-38
Alaska,AK,Alpha,2021-03-15,7,0,-37
Alaska,AK,Alpha,2021-03-16,11,1,-36
Alaska,AK,Alpha,2021-03-17,9,1,-35
Alaska,AK,Alpha,2021-03-18,6,1,-34
